 0.250000E+00     -0.144259E-03      0.287498E+00      0.958471E+00
 0.247000E+00     -0.117240E-01      0.281073E+00      0.948635E+00
 0.244000E+00     -0.234668E-01      0.274570E+00      0.938701E+00
 0.241000E+00     -0.353776E-01      0.267987E+00      0.928667E+00
 0.238000E+00     -0.474616E-01      0.261321E+00      0.918531E+00
 0.235000E+00     -0.597241E-01      0.254570E+00      0.908292E+00
 0.232000E+00     -0.721706E-01      0.247733E+00      0.897947E+00
 0.229000E+00     -0.848070E-01      0.240807E+00      0.887496E+00
 0.226000E+00     -0.976394E-01      0.233789E+00      0.876937E+00
 0.223000E+00     -0.110674E+00      0.226678E+00      0.866267E+00
 0.220000E+00     -0.123918E+00      0.219470E+00      0.855486E+00
 0.217000E+00     -0.137379E+00      0.212164E+00      0.844591E+00
 0.214000E+00     -0.151063E+00      0.204755E+00      0.833580E+00
 0.211000E+00     -0.164979E+00      0.197242E+00      0.822453E+00
 0.208000E+00     -0.179135E+00      0.189622E+00      0.811208E+00
 0.205000E+00     -0.193540E+00      0.181891E+00      0.799842E+00
 0.202000E+00     -0.208203E+00      0.174045E+00      0.788354E+00
 0.199000E+00     -0.223134E+00      0.166083E+00      0.776744E+00
 0.196000E+00     -0.238344E+00      0.157999E+00      0.765008E+00
 0.193000E+00     -0.253842E+00      0.149791E+00      0.753146E+00
 0.190000E+00     -0.269642E+00      0.141454E+00      0.741157E+00
 0.187000E+00     -0.285756E+00      0.132985E+00      0.729039E+00
 0.184000E+00     -0.302196E+00      0.124379E+00      0.716791E+00
 0.181000E+00     -0.318977E+00      0.115631E+00      0.704413E+00
 0.178000E+00     -0.336114E+00      0.106737E+00      0.691903E+00
 0.175000E+00     -0.353623E+00      0.976915E-01      0.679261E+00
 0.172000E+00     -0.371521E+00      0.884898E-01      0.666487E+00
 0.169000E+00     -0.389826E+00      0.791263E-01      0.653581E+00
 0.166000E+00     -0.408559E+00      0.695951E-01      0.640542E+00
 0.163000E+00     -0.427740E+00      0.598901E-01      0.627373E+00
 0.160000E+00     -0.447392E+00      0.500048E-01      0.614074E+00
 0.157000E+00     -0.467539E+00      0.399324E-01      0.600647E+00
 0.154000E+00     -0.488209E+00      0.296657E-01      0.587094E+00
 0.151000E+00     -0.509429E+00      0.191970E-01      0.573419E+00
 0.148000E+00     -0.531231E+00      0.851830E-02      0.559625E+00
 0.145000E+00     -0.553649E+00     -0.237907E-02      0.545718E+00
 0.142000E+00     -0.576718E+00     -0.135043E-01      0.531704E+00
 0.139000E+00     -0.600480E+00     -0.248670E-01      0.517590E+00
 0.136000E+00     -0.624978E+00     -0.364776E-01      0.503386E+00
 0.133000E+00     -0.650259E+00     -0.483471E-01      0.489102E+00
 0.130000E+00     -0.676376E+00     -0.604874E-01      0.474751E+00
 0.127000E+00     -0.703388E+00     -0.729112E-01      0.460350E+00
 0.124000E+00     -0.731357E+00     -0.856319E-01      0.445918E+00
 0.121000E+00     -0.760355E+00     -0.986640E-01      0.431475E+00
 0.118000E+00     -0.790460E+00     -0.112023E+00      0.417049E+00
 0.115000E+00     -0.821760E+00     -0.125727E+00      0.402671E+00
 0.112000E+00     -0.854351E+00     -0.139792E+00      0.388378E+00
 0.109000E+00     -0.888345E+00     -0.154239E+00      0.374214E+00
 0.106000E+00     -0.923863E+00     -0.169090E+00      0.360231E+00
 0.103000E+00     -0.961047E+00     -0.184366E+00      0.346492E+00
 0.100000E+00     -0.100006E+01     -0.200096E+00      0.333072E+00
